Cause,TotalDeaths
1000,103626314.0
1001,1843560.0
1002,150.0
1003,15922.0
1004,20600.0
1005,907849.0
1006,169789.0
1007,12.0
1008,857.0
1009,584.0
1010,442.0
1011,18308.0
1012,116669.0
1013,2656.0
1014,478.0
1015,1028.0
1016,32.0
1017,2685.0
1018,251.0
1019,61606.0
1020,449227.0
1021,670.0
1022,92.0
1023,61.0
1024,45.0
1025,73547.0
1026,14256521.0
1027,468333.0
1028,338715.0
1029,1640191.0
1030,1818599.0
1031,419241.0
1032,749975.0
1033,229950.0
1034,2475428.0
1035,161030.0
1036,1124908.0
1037,315474.0
1038,316397.0
1039,370503.0
1040,502015.0
1041,331108.0
1042,338872.0
1043,188164.0
1044,99818.0
1045,382259.0
1046,1819666.0
1047,148975.0
1048,75235.0
1049,45470.0
1050,29765.0
1051,886385.0
1052,806771.0
1053,15422.0
1054,64192.0
1055,472046.0
1056,259550.0
1057,212496.0
1058,1736285.0
1059,69764.0
1060,32221.0
1061,1634049.0
1062,571.0
1063,8045.0
1064,57028694.0
1065,212473.0
1066,1163998.0
1067,30849759.0
1068,4875689.0
1069,17281870.0
1070,1951083.0
1071,693822.0
1072,3976056.0
1073,13774.0
1074,1705910.0
1075,25233.0
1076,1855496.0
1077,375643.0
1078,4485115.0
1079,406250.0
1080,2558325.0
1081,1520540.0
1082,103260.0
1083,131460.0
1084,722010.0
1085,413959.0
1086,308051.0
1087,16218.0
1088,2304.0
1089,10176.0
1090,3456.0
1091,282.0
1092,691924.0
1093,440127.0
1094,5856641.0
1095,10895614.0
1096,1523131.0
1097,503026.0
1098,515111.0
1099,398354.0
1100,1812857.0
1101,1723999.0
1102,990760.0
1103,3428376.0
1903,350.0
A00,2002.0
A000,232.0
A001,68.0
A009,28423.0
A01,9025.0
A010,19029.0
A011,89.0
A012,76.0
A013,40.0
A014,203.0
A02,3345.0
A020,7557.0
A021,4499.0
A022,600.0
A028,122.0
A029,1882.0
A03,683.0
A030,84.0
A031,85.0
A032,7.0
A033,50.0
A038,36.0
A039,1219.0
A04,6756.0
A040,507.0
A041,223.0
A042,193.0
A043,701.0
A044,1569.0
A045,1572.0
A046,134.0
A047,503475.0
A048,14659.0
A049,38701.0
A05,4087.0
A050,302.0
A051,704.0
A052,3690.0
A053,201.0
A054,45.0
A058,357.0
A059,4195.0
A06,8292.0
A060,9065.0
A061,787.0
A062,182.0
A063,108.0
A064,2665.0
A065,242.0
A066,221.0
A067,22.0
A068,125.0
A069,4606.0
A07,991.0
A070,29.0
A071,227.0
A072,239.0
A073,98.0
A078,130.0
A079,517.0
A08,5409.0
A080,3166.0
A081,11551.0
A082,220.0
A083,2760.0
A084,22169.0
A085,5760.0
A09,1579445.0
A090,109632.0
A099,471495.0
A15,80033.0
A150,94289.0
A151,9865.0
A152,10182.0
A153,44678.0
A154,720.0
A155,488.0
A156,2048.0
A157,1123.0
A158,1372.0
A159,18215.0
A16,2099317.0
A160,12185.0
A161,4994.0
A162,998007.0
A163,1478.0
A164,1455.0
A165,19823.0
A167,2154.0
A168,1086.0
A169,183802.0
A17,113154.0
A170,32430.0
A171,356.0
A178,7160.0
A179,1759.0
A18,66472.0
A180,17585.0
A181,4338.0
A182,4495.0
A183,11587.0
A184,435.0
A185,49.0
A186,14.0
A187,280.0
A188,5075.0
A19,156353.0
A190,4890.0
A191,2046.0
A192,1160.0
A198,1496.0
A199,53030.0
A20,226.0
A200,14.0
A201,8.0
A202,144.0
A203,2.0
A207,117.0
A208,4.0
A209,16.0
A21,358.0
A210,24.0
A211,4.0
A212,102.0
A213,24.0
A217,42.0
A218,2.0
A219,577.0
A22,344.0
A220,72.0
A221,32.0
A222,14.0
A227,89.0
A228,17.0
A229,125.0
A23,435.0
A230,58.0
A231,13.0
A233,2.0
A238,20.0
A239,831.0
A24,6205.0
A240,156.0
A241,438.0
A242,20.0
A243,12.0
A244,1397.0
A25,68.0
A250,16.0
A251,51.0
A259,69.0
